Date,Price
12/1/22,"1,809.60"
11/1/22,"1,759.90"
10/1/22,"1,640.70"
9/1/22,"1,672.00"
8/1/22,"1,721.40"
7/1/22,"1,771.50"
6/1/22,"1,812.00"
5/1/22,"1,848.40"
4/1/22,"1,915.10"
3/1/22,"1,954.00"
2/1/22,"1,902.20"
1/1/22,"1,796.40"
12/1/21,"1,829.70"
11/1/21,"1,776.50"
10/1/21,"1,784.90"
9/1/21,"1,757.00"
8/1/21,"1,816.90"
7/1/21,"1,814.50"
6/1/21,"1,772.40"
5/1/21,"1,905.30"
4/1/21,"1,768.60"
3/1/21,"1,715.60"
2/1/21,"1,730.10"
1/1/21,"1,850.30"
12/1/20,"1,897.30"
11/1/20,"1,780.90"
10/1/20,"1,883.50"
9/1/20,"1,895.50"
8/1/20,"1,974.50"
7/1/20,"1,973.90"
6/1/20,"1,805.20"
5/1/20,"1,751.70"
4/1/20,"1,697.10"
3/1/20,"1,596.60"
2/1/20,"1,569.30"
1/1/20,"1,587.90"
12/1/19,"1,526.50"
11/1/19,"1,472.70"
10/1/19,"1,518.30"
9/1/19,"1,472.90"
8/1/19,"1,526.20"
7/1/19,"1,431.80"
6/1/19,"1,416.70"
5/1/19,"1,311.10"
4/1/19,"1,288.60"
3/1/19,"1,298.50"
2/1/19,"1,319.40"
1/1/19,"1,325.20"
12/1/18,"1,284.50"
11/1/18,"1,226.00"
10/1/18,"1,218.00"
9/1/18,"1,196.20"
8/1/18,"1,204.10"
7/1/18,"1,228.50"
6/1/18,"1,257.30"
5/1/18,"1,304.70"
4/1/18,"1,322.30"
3/1/18,"1,327.30"
2/1/18,"1,320.60"
1/1/18,"1,343.10"
12/1/17,"1,311.40"
11/1/17,"1,276.70"
10/1/17,"1,272.40"
9/1/17,"1,284.80"
8/1/17,"1,320.40"
7/1/17,"1,270.10"
6/1/17,"1,244.10"
5/1/17,"1,275.40"
4/1/17,"1,270.00"
3/1/17,"1,251.20"
2/1/17,"1,255.40"
1/1/17,"1,211.40"
12/1/16,"1,152.90"
11/1/16,"1,173.90"
10/1/16,"1,275.10"
9/1/16,"1,317.10"
8/1/16,"1,309.60"
7/1/16,"1,353.10"
6/1/16,"1,322.00"
5/1/16,"1,217.50"
4/1/16,"1,291.50"
3/1/16,"1,235.60"
2/1/16,"1,234.70"
1/1/16,"1,116.40"
12/1/15,"1,060.50"
11/1/15,"1,065.30"
10/1/15,"1,141.80"
9/1/15,"1,115.20"
8/1/15,"1,132.20"
7/1/15,"1,094.70"
6/1/15,"1,172.30"
5/1/15,"1,189.80"
4/1/15,"1,182.90"
3/1/15,"1,183.20"
2/1/15,"1,213.50"
1/1/15,"1,279.20"
12/1/14,"1,184.50"
11/1/14,"1,175.50"
10/1/14,"1,172.00"
9/1/14,"1,211.60"
8/1/14,"1,287.20"
7/1/14,"1,281.90"
6/1/14,"1,322.10"
5/1/14,"1,246.00"
4/1/14,"1,296.00"
3/1/14,"1,283.80"
2/1/14,"1,321.70"
1/1/14,"1,239.80"
12/1/13,"1,202.60"
11/1/13,"1,250.40"
10/1/13,"1,324.10"
9/1/13,"1,327.00"
8/1/13,"1,395.90"
7/1/13,"1,312.60"
6/1/13,"1,224.20"
5/1/13,"1,393.00"
4/1/13,"1,472.70"
3/1/13,"1,595.70"
2/1/13,"1,578.90"
1/1/13,"1,662.00"
12/1/12,"1,676.90"
11/1/12,"1,712.70"
10/1/12,"1,720.20"
9/1/12,"1,773.90"
8/1/12,"1,686.40"
7/1/12,"1,612.40"
6/1/12,"1,605.30"
5/1/12,"1,564.20"
4/1/12,"1,665.30"
3/1/12,"1,671.90"
2/1/12,"1,712.60"
1/1/12,"1,740.40"
12/1/11,"1,568.00"
11/1/11,"1,750.30"
10/1/11,"1,726.20"
9/1/11,"1,622.30"
8/1/11,"1,830.30"
